a,b,c,a^2 + b^2 - c^2,2ab,C,COS,Degrees
560,409,657,49232,458080,0.11,1.463113664,83.83023788
346,267,178,159321,184764,0.86,0.531012842,30.42479469
165,434,307,121332,143220,0.85,0.5601561,32.09458038
681,922,755,743820,1255764,0.59,0.93685525,53.67785187
428,218,279,152867,186608,0.82,0.610802869,34.99642651
404,229,222,166373,185032,0.90,0.452954694,25.95239229
42,25,51,-212,2100,-0.10,1.671920973,95.79401543
78,422,352,60264,65832,0.92,0.4142435,23.73440424
462,776,1019,-222741,717024,-0.31,1.88666944,108.0981962
145,16,135,3056,4640,0.66,0.851812071,48.80523661
118,651,560,124125,153636,0.81,0.630189054,36.10717312
730,558,1260,-743336,814680,-0.91,2.719972152,155.8429247
733,310,480,402989,454460,0.89,0.480546328,27.53327645
68,368,343,22399,50048,0.45,1.106772178,63.41337465
639,786,944,134981,1004508,0.13,1.436013373,82.2775056
733,743,1067,-49151,1089238,-0.05,1.615935861,92.58630477
901,946,197,1667908,1704692,0.98,0.208116042,11.92417087
654,431,988,-362667,563748,-0.64,2.269615424,130.0393849
72,246,230,12800,35424,0.36,1.201095009,68.81767478
620,265,533,170536,328600,0.52,1.025142037,58.73631214
872,106,891,-22261,184864,-0.12,1.691507518,96.91624178
160,296,233,58927,94720,0.62,0.899351505,51.52904555
665,156,619,83400,207480,0.40,1.157132896,66.29883126
526,831,657,535588,874212,0.61,0.911384228,52.21846978
874,657,472,972741,1148436,0.85,0.560454353,32.11166901
466,209,300,170837,194788,0.88,0.501129106,28.71258279
395,962,1037,6100,759980,0.01,1.562769714,89.54010894
7,285,283,1185,3990,0.30,1.269254853,72.7229462
169,312,320,23505,105456,0.22,1.346019132,77.12121543
298,991,739,524764,590636,0.89,0.476789775,27.3180418
319,155,252,62282,98890,0.63,0.889486589,50.96382747
854,212,810,118160,362096,0.33,1.238386058,70.95429453
378,434,322,227556,328104,0.69,0.804393367,46.088345
554,893,660,668765,989444,0.68,0.828611403,47.47593626
507,365,237,334105,370110,0.90,0.444750327,25.48231669
552,862,1155,-286277,951648,-0.30,1.876351168,107.5070028
242,531,296,252909,257004,0.98,0.178751773,10.24172217
134,4,134,16,1072,0.01,1.555870399,89.14480736
656,884,1063,81823,1159808,0.07,1.500188928,85.95449403
548,985,1239,-264592,1079560,-0.25,1.818411372,104.187297
473,375,312,267010,354750,0.75,0.718686936,41.17772823
78,481,436,47349,75036,0.63,0.887932712,50.87479687
505,956,894,369725,965560,0.38,1.177849284,67.48579288
932,23,931,2392,42872,0.06,1.514973347,86.80157887
461,652,857,-96824,601144,-0.16,1.732567224,99.26878965
301,853,1102,-396194,513506,-0.77,2.452065594,140.4930096
396,189,455,-14488,149688,-0.10,1.66773607,95.55423815
918,988,714,1309072,1813968,0.72,0.764595941,43.80812047
942,314,1197,-446849,591576,-0.76,2.426989706,139.0562671
43,201,190,6150,17286,0.36,1.207048593,69.15879004
328,717,808,-31191,470352,-0.07,1.637159191,93.80231206
826,146,900,-106408,241192,-0.44,2.027704438,116.1789064
226,70,270,-16924,31640,-0.53,2.135176886,122.3366241
448,110,392,59140,98560,0.60,0.927244487,53.12719565
227,113,235,9073,51302,0.18,1.393006469,79.81339151
671,456,564,340081,611952,0.56,0.981553743,56.23888685
909,245,722,365022,445410,0.82,0.610225012,34.96331777
740,290,977,-322829,429200,-0.75,2.42213691,138.7782223
206,490,618,-99388,201880,-0.49,2.085540587,119.4926737
21,494,501,-6524,20748,-0.31,1.890662944,108.3270072
480,777,872,73745,745920,0.10,1.471770071,84.32621351
341,847,739,287569,577654,0.50,1.049710408,60.1439761
689,236,905,-288608,325208,-0.89,2.662593488,152.5553694
348,602,716,-29148,418992,-0.07,1.640419522,93.98911526
982,194,1063,-128009,381016,-0.34,1.913428596,109.631383
96,616,618,6748,118272,0.06,1.513710402,86.72921746
805,394,641,392380,634340,0.62,0.903882306,51.78864129
648,115,623,45000,149040,0.30,1.264077355,72.4262974
19,303,299,2769,11514,0.24,1.327925858,76.08454718
512,469,157,457456,480256,0.95,0.309370815,17.72564198
631,949,1345,-510263,1197638,-0.43,2.010927113,115.2176365
618,634,1141,-518001,783624,-0.66,2.292990382,131.3786714
332,710,956,-299612,471440,-0.64,2.259484896,129.4589484
104,732,649,125439,152256,0.82,0.602592495,34.52600674
723,492,744,211257,711432,0.30,1.269303363,72.72572564
653,589,989,-204791,769234,-0.27,1.840273154,105.4398849
630,212,672,-9740,267120,-0.04,1.607267424,92.08963997
660,365,463,354456,481800,0.74,0.744109775,42.63434963
979,69,1047,-133007,135102,-0.98,2.965257486,169.8967391
378,580,474,254608,438480,0.58,0.951256636,54.50299046
913,952,1587,-778696,1738352,-0.45,2.035268217,116.612279
360,599,304,395985,431280,0.92,0.407379534,23.34112798
717,389,543,370561,557826,0.66,0.84424614,48.37174069
96,73,154,-9171,14016,-0.65,2.284084186,130.8683839
915,778,174,1412233,1423740,0.99,0.127225349,7.28947555
552,692,401,622767,763968,0.82,0.617766451,35.39541039
645,185,710,-53850,238650,-0.23,1.798400616,103.0407652
741,133,762,-13874,197106,-0.07,1.641243103,94.03630293
889,725,567,994457,1289050,0.77,0.689655852,39.51436963
463,726,887,-45324,672276,-0.07,1.638266243,93.86574145
478,952,1207,-322061,910112,-0.35,1.93250155,110.7241827
551,874,1344,-738859,963148,-0.77,2.445150309,140.096793
870,384,763,322187,668160,0.48,1.067631681,61.1707894
235,858,950,-111111,403260,-0.28,1.849939319,105.9937153
212,118,235,3643,50032,0.07,1.497918433,85.82440427
372,773,637,330144,575112,0.57,0.959350826,54.96675341
862,261,789,188644,449964,0.42,1.138185613,65.21323194
683,109,710,-25730,148894,-0.17,1.74447567,99.95109337
542,356,301,329899,385904,0.85,0.545489866,31.2542671
380,223,585,-148096,169480,-0.87,2.633812058,150.906315
315,398,711,-247892,250740,-0.99,2.99072883,171.3561396
826,533,450,763865,880516,0.87,0.520602349,29.8283174
854,765,716,801885,1306620,0.61,0.910046017,52.14179594
807,337,716,252162,543918,0.46,1.088739074,62.38015395
356,424,108,294848,301888,0.98,0.216384431,12.39791464
198,884,780,212260,350064,0.61,0.919338558,52.67421934
311,128,353,-11504,79616,-0.14,1.715797478,98.30795401
539,325,341,279865,350350,0.80,0.645472735,36.98286349
851,918,503,1313916,1562436,0.84,0.571777065,32.76041266
277,902,641,479452,499708,0.96,0.285700994,16.36946117
831,234,902,-68287,388908,-0.18,1.747297833,100.1127914
223,650,735,-67996,289900,-0.23,1.807551796,103.5650892
94,404,495,-72973,75952,-0.96,2.860589976,163.8997326
477,28,500,-21687,26712,-0.81,2.518165356,144.280247
165,412,409,29688,135960,0.22,1.350664428,77.38737127
7,756,762,-9059,10584,-0.86,2.598113214,148.8609219
481,349,438,161318,335738,0.48,1.06958553,61.28273668
279,136,318,-4787,75888,-0.06,1.633918037,93.61660758
798,784,776,649284,1251264,0.52,1.02522977,58.74133883
98,701,639,92684,137396,0.67,0.830406576,47.57879209
317,97,316,10042,61498,0.16,1.406771967,80.60209647
71,690,700,-8859,97980,-0.09,1.661336388,95.18756338
188,974,906,163184,366224,0.45,1.108968475,63.53921323
913,770,1572,-1044715,1406020,-0.74,2.408382737,137.9901663
111,472,434,46749,104784,0.45,1.10834157,63.50329421
85,265,184,43594,45050,0.97,0.254932361,14.60654833
218,532,678,-129136,231952,-0.56,2.161247514,123.8303611
173,863,880,298,298598,0.00,1.569798329,89.94281896
4,714,715,-1413,5712,-0.25,1.820765354,104.3221703
856,816,136,1380096,1396992,0.99,0.155685684,8.920132626
684,464,230,630252,634752,0.99,0.119145083,6.826510391
40,671,708,-49423,53680,-0.92,2.740658258,157.0281513
924,163,925,24720,301224,0.08,1.488638758,85.29271808
59,826,812,26413,97468,0.27,1.296373397,74.27672432
239,795,706,190710,380010,0.50,1.045054006,59.87718392
83,933,902,63774,154878,0.41,1.146401617,65.68397427
835,649,1242,-424138,1083830,-0.39,1.972875548,113.0374424
136,984,856,254016,267648,0.95,0.320533595,18.36522218
564,629,488,475593,709512,0.67,0.836169853,47.90900351
100,1,100,1,200,0.01,1.565796306,89.71351991
662,564,674,302064,746736,0.40,1.154350686,66.13942238
418,174,528,-73784,145464,-0.51,2.102766258,120.4796319
106,734,738,5348,155608,0.03,1.536421144,88.03044713
240,296,458,-64548,142080,-0.45,2.042390959,117.0203821
779,808,734,720949,1258864,0.57,0.961002958,55.06141357
84,370,388,-6588,62160,-0.11,1.676980308,96.083894
641,376,750,-10243,482032,-0.02,1.592047553,91.21760557
590,902,1332,-612520,1064360,-0.58,2.183989704,125.1333925
19,786,803,-26652,29868,-0.89,2.673269013,153.167032
681,971,1113,167833,1322502,0.13,1.443547529,82.70918094
46,491,525,-32428,45172,-0.72,2.371546201,135.8795883
341,815,977,-174023,555830,-0.31,1.889237763,108.2453503
449,88,508,-48719,79024,-0.62,2.235097303,128.0616423
637,1000,506,1149733,1274000,0.90,0.445351779,25.51677731
274,513,784,-276411,281124,-0.98,2.958224729,169.4937918
819,363,527,524801,594594,0.88,0.489387936,28.03986331
693,168,543,213624,232848,0.92,0.40919928,23.44539174
63,515,543,-25655,64890,-0.40,1.97725758,113.2885144
277,485,337,198385,268690,0.74,0.740188291,42.40966512
509,958,1393,-763604,975244,-0.78,2.470250726,141.5349409
952,561,1051,116424,1068144,0.11,1.461582807,83.74252627
39,271,304,-17454,21138,-0.83,2.542267934,145.661223
910,929,1694,-1178495,1690780,-0.70,2.342019186,134.1878149
644,935,429,1104920,1204280,0.92,0.409062112,23.43753256
699,297,626,184934,415206,0.45,1.109171998,63.55087422
539,591,1127,-630327,637098,-0.99,2.99566968,171.6392295
265,793,972,-245710,420290,-0.58,2.195208102,125.7761594
556,435,485,263136,483720,0.54,0.995618369,57.04473054
828,51,795,56160,84456,0.66,0.843353875,48.32061766
33,155,163,-1455,10230,-0.14,1.713509009,98.17683436
89,660,710,-60579,117480,-0.52,2.112566792,121.0411611
830,125,801,62924,207500,0.30,1.26269681,72.34719801
268,304,196,125824,162944,0.77,0.688513031,39.4488908
427,934,696,570269,797636,0.71,0.774245275,44.36098654
824,938,856,826084,1545824,0.53,1.00700193,57.69696052
806,170,958,-239228,274040,-0.87,2.632049523,150.8053292
380,475,571,43984,361000,0.12,1.448653513,83.00173225
543,510,740,7349,553860,0.01,1.557527241,89.23973741
362,43,324,27917,31132,0.90,0.458471438,26.26847842
246,111,320,-29563,54612,-0.54,2.142811958,122.7740815
222,222,175,67943,98568,0.69,0.810272848,46.42521442
627,68,687,-74216,85272,-0.87,2.626697402,150.4986752
497,351,341,253929,348894,0.73,0.755671347,43.29677891
170,396,375,45091,134640,0.33,1.229296723,70.43351398
785,925,1231,-43511,1452250,-0.03,1.600761906,91.71690122
970,988,376,1775668,1916720,0.93,0.386033759,22.11810514
374,71,313,46948,53108,0.88,0.486424491,27.8700704
818,293,773,157444,479348,0.33,1.236129516,70.82500422
292,337,552,-105871,196808,-0.54,2.138788453,122.5435516
939,929,1063,614793,1744662,0.35,1.210677798,69.3667282
45,500,462,38581,45000,0.86,0.54068644,30.97905108
372,622,640,115668,462768,0.25,1.318169634,75.52555671
61,441,465,-18023,53802,-0.33,1.91238834,109.5717807
35,585,592,-7014,40950,-0.17,1.742927131,99.86236859
819,104,764,97881,170352,0.57,0.958704377,54.9297146
296,35,313,-9128,20720,-0.44,2.026997029,116.1383748
387,49,412,-17574,37926,-0.46,2.05259749,117.6051732
263,668,525,239768,351368,0.68,0.819776938,46.96975871
484,129,552,-53807,124872,-0.43,2.016283147,115.5245147
122,493,392,104269,120292,0.87,0.522049259,29.91121924
913,716,1109,116344,1307416,0.09,1.481690716,84.89462458
619,565,741,153305,699470,0.22,1.349829455,77.33953086
77,523,465,63233,80542,0.79,0.66794927,38.27067408
613,861,1333,-659799,1055586,-0.63,2.245997945,128.6862031
25,17,33,-175,850,-0.21,1.778161618,101.881156
942,255,696,467973,480420,0.97,0.228128188,13.07078239
859,822,1342,-387399,1412196,-0.27,1.848682803,105.9217223
530,117,463,80220,124020,0.65,0.867374384,49.69689148
884,353,1045,-185960,624104,-0.30,1.873354507,107.3353068
212,99,285,-26480,41976,-0.63,2.253427365,129.1118774
398,47,354,35297,37412,0.94,0.337856476,19.35775016
143,998,973,69724,285428,0.24,1.324020469,75.86078486
933,859,974,659694,1602894,0.41,1.146626486,65.6968583
252,315,257,96680,158760,0.61,0.916035546,52.48497066
561,996,756,735201,1117512,0.66,0.852781483,48.86077982
829,850,1084,234685,1409300,0.17,1.403490974,80.41410939
768,739,939,254224,1135104,0.22,1.344915007,77.05795368
765,547,552,579730,836910,0.69,0.805566298,46.15554898
191,202,327,-29644,77164,-0.38,1.965103677,112.592147
803,362,659,341572,581372,0.59,0.942796439,54.01825688
192,562,450,150208,215808,0.70,0.800948342,45.8909596
386,501,768,-189827,386772,-0.49,2.08380197,119.3930582
403,927,730,488838,747162,0.65,0.85759298,49.13645828
984,347,646,671349,682896,0.98,0.184156119,10.55136841
232,290,59,134443,134560,1.00,0.041704355,2.389483551
15,53,56,-102,1590,-0.06,1.634991352,93.67810403
441,514,688,-14667,453348,-0.03,1.603154603,91.85399266
435,597,423,366705,519390,0.71,0.786919592,45.08717144
947,212,749,380752,401528,0.95,0.323093847,18.51191384
553,901,1023,71081,996506,0.07,1.499405472,85.90960533
103,616,597,33656,126896,0.27,1.302358986,74.61967331
554,813,1322,-779799,900804,-0.87,2.61728351,149.9592989
783,998,1318,-128031,1562868,-0.08,1.652808778,94.69896735
263,300,286,77373,157800,0.49,1.058335782,60.63817361
297,105,265,29009,62370,0.47,1.087035844,62.28256604
985,833,761,1084993,1641010,0.66,0.848413913,48.61053651
980,898,1351,-58397,1760080,-0.03,1.603981023,91.90134301
693,428,470,442533,593208,0.75,0.728761548,41.75496096
864,442,1247,-613149,763776,-0.80,2.502750061,143.3970157
361,453,657,-96119,327066,-0.29,1.869082592,107.0905441
717,605,1241,-659967,867570,-0.76,2.435198716,139.5266087
207,955,820,282474,395370,0.71,0.774951721,44.40146297
52,844,879,-57601,87776,-0.66,2.28660419,131.0127695
685,848,475,962704,1161760,0.83,0.594086882,34.038671
126,966,1057,-168217,243432,-0.69,2.333699059,133.7111067
517,6,516,1069,6204,0.17,1.3976239,80.0779508
244,28,233,6031,13664,0.44,1.113661653,63.80811251
329,814,869,15676,535612,0.03,1.541524692,88.32285887
318,31,291,17404,19716,0.88,0.489145184,28.02595462
989,858,1121,457644,1697124,0.27,1.297757896,74.35605029
866,726,1023,230503,1257432,0.18,1.386441331,79.43723681
431,495,917,-410103,426690,-0.96,2.861849345,163.971889
155,346,387,-6028,107260,-0.06,1.627025841,93.22171384
535,550,998,-407279,588500,-0.69,2.335139286,133.7936257
123,336,315,28800,82656,0.35,1.214898514,69.60855741
393,576,413,315656,452736,0.70,0.79928605,45.79571729
947,211,983,-24959,399634,-0.06,1.633291646,93.58071802
987,844,1654,-1049211,1666056,-0.63,2.252037115,129.032222
988,494,943,330931,976144,0.34,1.224922773,70.18290511
222,649,564,152389,288156,0.53,1.01356073,58.07275214
582,245,374,258873,285180,0.91,0.432900014,24.80334373
768,727,1320,-624047,1116672,-0.56,2.163789155,123.9759864
390,970,709,590319,756600,0.78,0.675769261,38.71872658
739,596,787,281968,880888,0.32,1.244966379,71.33131914
339,736,715,145392,499008,0.29,1.275145959,73.06048169
506,49,546,-39679,49588,-0.80,2.498380649,143.1466668
106,769,704,106981,163028,0.66,0.855008057,48.98835314
18,359,364,-3291,12924,-0.25,1.828274352,104.7524041
906,977,296,1687749,1770324,0.95,0.306630702,17.5686451
783,804,574,930029,1259064,0.74,0.739705688,42.38201398
756,143,888,-196559,216216,-0.91,2.711881886,155.3793866
412,215,605,-150056,177160,-0.85,2.581128286,147.8877572
629,171,569,101121,215118,0.47,1.081423705,61.96101415
93,511,422,91686,95046,0.96,0.26668924,15.28016791
387,30,374,10793,23220,0.46,1.087370879,62.30176216
172,959,966,16109,329896,0.05,1.52194636,87.20110307
699,1,699,1,1398,0.00,1.570081019,89.95901589
289,493,515,61345,284954,0.22,1.353817413,77.56802401
540,99,629,-94240,106920,-0.88,2.649628253,151.8125162
141,788,662,202581,222216,0.91,0.423539329,24.267016
557,677,377,626449,754178,0.83,0.590543588,33.83565521
942,139,872,146301,261876,0.56,0.978020806,56.03646448
78,182,228,-12776,28392,-0.45,2.03754589,116.7427801
626,867,318,1042441,1085484,0.96,0.28255318,16.18910471
606,738,1217,-569209,894456,-0.64,2.260585426,129.5220041
787,972,1331,-207408,1529928,-0.14,1.706782216,97.7914175
931,539,532,874258,1003618,0.87,0.513345688,29.41254136
575,551,740,86626,633650,0.14,1.433657326,82.14251406
733,319,956,-274886,467654,-0.59,2.199130388,126.0008898
792,196,621,280039,310464,0.90,0.446413017,25.57758178
432,111,499,-50056,95904,-0.52,2.119918437,121.4623794
706,920,1004,336820,1299040,0.26,1.30851578,74.97243163
900,395,729,434584,711000,0.61,0.913183505,52.32156076
540,524,422,388092,565920,0.69,0.815132669,46.7036617
888,431,796,340689,765456,0.45,1.10953296,63.57155582
881,219,775,223497,385878,0.58,0.953060596,54.6063498
997,138,927,153724,275172,0.56,0.978042767,56.03772275
77,236,285,-19600,36344,-0.54,2.140391544,122.635402
986,979,817,1263148,1930588,0.65,0.857564187,49.13480858
929,976,426,1634141,1813408,0.90,0.448396083,25.69120308
819,989,690,1172782,1619982,0.72,0.761288767,43.61863332
818,827,821,679012,1352972,0.50,1.045040379,59.87640315
859,449,1235,-585743,771382,-0.76,2.43309811,139.4062528
66,518,560,-40920,68376,-0.60,2.212368328,126.7593679
616,432,781,-43881,532224,-0.08,1.653338392,94.72931195
547,360,335,316584,393840,0.80,0.637074997,36.50170858
923,651,1142,-28434,1201746,-0.02,1.594459109,91.35577754
738,522,1154,-514588,770472,-0.67,2.302162028,131.9041679
853,761,267,1235441,1298266,0.95,0.312367972,17.89736647
816,569,985,19392,928608,0.02,1.549911939,88.80341271
659,470,636,250685,619460,0.40,1.154164055,66.12872922
621,31,599,27801,38502,0.72,0.764011777,43.77465031
478,310,260,256984,296360,0.87,0.521376171,29.87265414
835,317,1145,-513311,529390,-0.97,2.894498741,165.8425617
147,438,349,91652,128772,0.71,0.778826173,44.62345266
431,60,429,5320,51720,0.10,1.467752508,84.09602406
153,425,428,20850,130050,0.16,1.409778498,80.77435796
895,423,719,462993,757170,0.61,0.912868839,52.30353173
679,587,334,694054,797146,0.87,0.514226113,29.46298597
912,432,837,317799,787968,0.40,1.155660087,66.21444556
225,945,1159,-399631,425250,-0.94,2.792710515,160.0105259
360,837,1179,-559872,602640,-0.93,2.762584995,158.2844608
713,208,530,270733,296608,0.91,0.420797043,24.1098946
800,879,862,669597,1406400,0.48,1.074573799,61.56854348
756,118,812,-73884,178416,-0.41,1.997762059,114.4633344
149,466,525,-36268,138868,-0.26,1.835029238,105.1394306
791,785,1563,-1201063,1241870,-0.97,2.884528979,165.2713364
255,959,1130,-292194,489090,-0.60,2.211081043,126.6856119
930,260,721,412659,483600,0.85,0.54850219,31.42686054
168,724,568,229776,243264,0.94,0.334562473,19.16901767
764,706,830,393232,1078768,0.36,1.197679551,68.62198349
596,497,144,581489,592424,0.98,0.192432473,11.02556855
64,181,182,3733,23168,0.16,1.408963437,80.72765841
55,556,551,8560,61160,0.14,1.430374544,81.95442447
314,391,677,-206852,245548,-0.84,2.572535945,147.3954523
247,605,510,166934,298870,0.56,0.978159009,56.04438289
323,222,466,-63543,143412,-0.44,2.029827832,116.3005679
836,414,617,489603,692208,0.71,0.785116123,44.9838403
316,667,684,76889,421544,0.18,1.387370987,79.49050215
544,318,575,66435,345984,0.19,1.377578787,78.92945042
539,331,862,-342962,356818,-0.96,2.861999809,163.98051
214,157,330,-38455,67196,-0.57,2.180081111,124.9094466
463,950,1106,-106367,879700,-0.12,1.692005716,96.94478642
230,48,184,21348,22080,0.97,0.258213046,14.79451775
27,933,946,-23698,50382,-0.47,2.060502257,118.058083
424,516,634,44076,437568,0.10,1.469895717,84.2188209
885,662,396,1064653,1171740,0.91,0.430856025,24.68623178
805,77,742,103390,123970,0.83,0.584492726,33.48896637
300,906,929,47795,543600,0.09,1.482759544,84.95586393
519,702,1052,-344539,728676,-0.47,2.063294686,118.2180774
99,209,269,-18879,41382,-0.46,2.044531012,117.1429981
243,799,695,214425,388314,0.55,0.985801735,56.48227887
986,233,1097,-176924,459476,-0.39,1.966064849,112.6472181
627,8,631,-4968,10032,-0.50,2.088878975,119.6839492
650,974,1204,-78440,1266200,-0.06,1.632785158,93.55169842
567,856,306,960589,970704,0.99,0.144488199,8.278563969
637,301,524,221794,383474,0.58,0.954053913,54.66326266
722,873,618,901489,1260612,0.72,0.774000396,44.34695601
183,679,853,-233079,248514,-0.94,2.787296259,159.7003119
496,432,92,424176,428544,0.99,0.142898667,8.187490541
972,321,1017,13536,624024,0.02,1.549103152,88.75707264
966,812,268,1520676,1568784,0.97,0.248289411,14.22593534
182,203,151,51532,73892,0.70,0.799038396,45.78152774
895,916,639,1231760,1639640,0.75,0.72086046,41.30226199
852,789,1025,297800,1344456,0.22,1.347441631,77.20271857
745,303,611,273513,451470,0.61,0.919990607,52.71157897
613,527,199,613897,646102,0.95,0.317063884,18.16642239
825,568,891,209368,937200,0.22,1.345497801,77.09134532
445,157,439,29953,139730,0.21,1.354756279,77.62181704
935,657,1282,-337650,1228590,-0.27,1.849206347,105.9517191
983,705,502,1211310,1386030,0.87,0.507541356,29.07997765
805,668,565,775024,1075480,0.72,0.766084628,43.89341594
624,74,631,-3309,92352,-0.04,1.606634299,92.05336457
302,671,899,-266756,405284,-0.66,2.289215323,131.1623764
945,622,562,964065,1175580,0.82,0.60925243,34.90759287
907,327,1209,-532103,593178,-0.90,2.683816722,153.7713711
258,393,236,165317,202788,0.82,0.617685948,35.3907979
807,757,578,890214,1221798,0.73,0.754506269,43.23002481
787,109,773,33721,171566,0.20,1.372960058,78.66481674
348,663,385,412448,461448,0.89,0.46502017,26.64369315
456,500,917,-382953,456000,-0.84,2.567728015,147.1199782
924,300,944,52640,554400,0.09,1.475703582,84.55158705
715,999,1399,-447975,1428570,-0.31,1.889760147,108.2752807
340,23,325,10504,15640,0.67,0.834414964,47.80845578
329,883,1185,-516295,581014,-0.89,2.665102559,152.6991286
539,308,371,247744,332024,0.75,0.728516433,41.74091689
574,576,889,-129069,661248,-0.20,1.767247504,101.2558233
745,242,921,-234652,360580,-0.65,2.279384782,130.5991279
861,854,328,1363053,1470588,0.93,0.384792907,22.04700958
806,775,512,988117,1249300,0.79,0.658458316,37.72688252
841,288,1032,-274799,484416,-0.57,2.173994261,124.5606958
802,387,498,544969,620748,0.88,0.499289262,28.60716745
293,83,257,26689,48638,0.55,0.989955178,56.7202536
496,628,475,414775,622976,0.67,0.84223603,48.25656988
822,220,714,214288,361680,0.59,0.936663022,53.66683798
293,275,331,51913,161150,0.32,1.242806292,71.20755531
134,606,673,-67737,162408,-0.42,2.001025616,114.6503225
171,723,716,39314,247266,0.16,1.411123943,80.85144628
790,208,880,-107036,328640,-0.33,1.902541739,109.007612
756,893,1047,272776,1350216,0.20,1.367372261,78.34465956
592,388,457,292159,459392,0.64,0.88153301,50.50812096
909,801,1007,453833,1456218,0.31,1.253865383,71.84119452
525,879,1294,-626170,922950,-0.68,2.316439038,132.7221804
259,147,248,27186,76146,0.36,1.205715642,69.08241756
811,245,744,164210,397390,0.41,1.144807688,65.59264885
479,372,675,-87800,356376,-0.25,1.81972831,104.262752
20,64,73,-833,2560,-0.33,1.902221132,108.9892426
536,233,519,72224,249776,0.29,1.277452227,73.19262116
458,191,464,30949,174956,0.18,1.392964607,79.810993
98,728,660,103988,142688,0.73,0.754259391,43.21587978
784,398,408,606596,624064,0.97,0.237159366,13.58823076
523,923,644,710722,965458,0.74,0.743431943,42.59551269
214,257,360,-17755,109996,-0.16,1.732920574,99.28903513
660,254,450,297616,335280,0.89,0.478548975,27.41883655
170,981,921,143020,333540,0.43,1.127638763,64.60894196
166,910,1048,-242648,302120,-0.80,2.503361863,143.4320693
550,957,1321,-526692,1052700,-0.50,2.094770281,120.0214961
913,992,445,1619608,1811392,0.89,0.464326413,26.60394379
715,146,813,-128428,208780,-0.62,2.233354207,127.9617702
120,752,831,-110657,180480,-0.61,2.230808044,127.8158858
829,862,39,1428764,1429196,1.00,0.024587927,1.408784445
98,709,678,52601,138964,0.38,1.182596833,67.75780741
374,709,718,127033,530332,0.24,1.328909594,76.14091109
139,287,380,-42710,79786,-0.54,2.135667429,122.3647301
753,691,1284,-604166,1040646,-0.58,2.190222726,125.4905184
327,499,710,-148170,326346,-0.45,2.04207655,117.0023678
46,475,443,31492,43700,0.72,0.766070285,43.89259416
303,69,267,25281,41814,0.60,0.92152506,52.79949663
283,81,331,-22911,45846,-0.50,2.094092891,119.9826845
52,274,258,11216,28496,0.39,1.166252878,66.82136778
354,41,389,-24324,29028,-0.84,2.56431153,146.924228
461,921,780,452362,849162,0.53,1.008989961,57.81086632
15,653,656,-3702,19590,-0.19,1.760913508,100.8929121
99,601,673,-81927,118998,-0.69,2.330178866,133.5094145
811,48,785,43800,77856,0.56,0.973296698,55.76579299
930,323,1016,-63027,600780,-0.10,1.675898339,96.02190173
619,892,1059,57344,1104296,0.05,1.518844855,87.0233999
818,915,1144,197613,1496940,0.13,1.438398559,82.41416668
84,42,57,5571,7056,0.79,0.660735914,37.85737925
78,508,545,-32877,79248,-0.41,1.998587682,114.5106392
219,802,832,-1059,351276,0.00,1.573811055,90.17273119
352,930,687,516835,654720,0.79,0.660967744,37.87066213
482,234,283,206991,225576,0.92,0.408768748,23.42072406
435,133,508,-51150,115710,-0.44,2.028682938,116.2349703
676,479,382,540493,647608,0.83,0.583391869,33.42589187
17,578,569,10612,19652,0.54,1.000364054,57.31663827
376,65,392,-8063,48880,-0.16,1.736508705,99.49461986
956,638,644,906244,1219856,0.74,0.733388205,42.02004887
18,102,91,2447,3672,0.67,0.841433981,48.21061588
557,309,849,-315071,344226,-0.92,2.727055251,156.2487564
628,602,656,326452,756112,0.43,1.124363357,64.421275
383,412,703,-177776,315592,-0.56,2.169182258,124.2849883
427,981,583,804801,837774,0.96,0.281491697,16.12828623
246,181,332,-16947,89052,-0.19,1.762268674,100.9705574
735,890,744,778789,1308300,0.60,0.933197308,53.46826721
786,891,168,1383453,1400652,0.99,0.156872522,8.988133441
422,205,391,67228,173020,0.39,1.171732134,67.13530601
761,584,716,407521,888848,0.46,1.094509746,62.71078909
725,276,597,245392,400200,0.61,0.910724727,52.18068318
824,815,1339,-449720,1343120,-0.33,1.912223611,109.5623424
877,806,1312,-302579,1413724,-0.21,1.786494786,102.3586113
489,311,319,234081,304158,0.77,0.692576689,39.68172126
183,750,824,-82987,274500,-0.30,1.877922546,107.5970362
125,83,140,2914,20750,0.14,1.429896849,81.92705461
293,245,171,116633,143570,0.81,0.622579042,35.67115151
871,257,709,322009,447694,0.72,0.768057768,44.00646856
294,667,931,-335436,392196,-0.86,2.596880429,148.7902885
642,85,686,-51207,109140,-0.47,2.05916554,117.9814948
804,839,1373,-534792,1349112,-0.40,1.978391834,113.3535023
933,50,922,22905,93300,0.25,1.322762542,75.78871093
41,545,569,-25055,44690,-0.56,2.165954773,124.1000671
889,636,333,1083928,1130808,0.96,0.288952383,16.55575204
41,100,71,6640,8200,0.81,0.627060003,35.92789167
991,258,1084,-126411,511356,-0.25,1.820593492,104.3123233
646,858,1226,-349596,1108536,-0.32,1.891640002,108.3829885
826,145,733,166012,239540,0.69,0.805091879,46.12836679
444,520,725,-58089,461760,-0.13,1.696929633,97.22690608
376,880,753,348767,661760,0.53,1.015694975,58.19503533
334,677,961,-353636,452236,-0.78,2.468620025,141.4415086
